rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
"6,154.",Wild Orchid,(1989),105 min,105 min,"
Drama, Romance            ",4.6,"
    A female lawyer becomes mesmerized by a self-made millionaire during an encounter in Rio setting off a series of erotic encounters.",Zalman King,"Mickey Rourke, Jacqueline Bisset, Carré Otis, Assumpta Serna",$11.06M
"6,155.",Friday the 13th Part VIII: Jason Takes Manhattan,(1989),100 min,100 min,"
Adventure, Horror, Thriller            ",4.6,"
    A boatful of graduating high school students headed to Manhattan accidentally pull Jason Voorhees along for the ride.",Rob Hedden,"Jensen Daggett, Kane Hodder, Todd Caldecott, Tiffany Paulsen",$14.34M
"6,156.",Attack of the Killer Tomatoes!,(1978),83 min,83 min,"
Adventure, Comedy, Horror            ",4.6,"
    A group of scientists band together to save the world from mutated killer tomatoes.",John De Bello,"David Miller, George Wilson, Sharon Taylor, J. Stephen Peace",NaN
"6,157.",Fifty Shades Freed,(2018),18,105 min,"
Drama, Romance, Thriller            ",4.5,"
    Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",$100.41M
"6,158.",XX,(2017),R,80 min,"
Horror            ",4.5,"
    Four short horror films that are directed and written by women.",Roxanne Benjamin,"Sofìa Carrillo, Karyn Kusama, St. Vincent, Jovanka Vuckovic",$0.03M
"6,159.",Snatched,(2017),R,90 min,"
Action, Adventure, Comedy            ",4.5,"
    When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.",Jonathan Levine,"Amy Schumer, Goldie Hawn, Kim Caramele, Raven Goodwin",$45.83M
"6,160.",In the Land of Blood and Honey,(2011),R,127 min,"
Drama, Romance, War            ",4.5,"
    During the Bosnian War, Danijel, a soldier fighting for the Serbs, re-encounters Ajla, a Bosnian who's now a captive in his camp he oversees. Their once promising connection has become ambiguous as their motives have changed.",Angelina Jolie,"Zana Marjanovic, Goran Kostic, Rade Serbedzija, Vanessa Glodjo",$0.30M
"6,161.",Sex and the City 2,(2010),A,146 min,"
Comedy, Drama, Romance            ",4.5,"
    While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",$95.35M
"6,162.",Death Note,(I) (2017),18,101 min,"
Action, Adventure, Crime            ",4.5,"
    A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.",Adam Wingard,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham",NaN
"6,163.",Alvin and the Chipmunks: The Squeakquel,(2009),PG,88 min,"
Animation, Comedy, Family            ",4.5,"
    The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",Betty Thomas,"Jason Lee, Zachary Levi, David Cross, Justin Long",$219.61M
"6,164.",Ouija,(II) (2014),A,89 min,"
Horror, Mystery, Thriller            ",4.5,"
    A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.",Stiles White,"Olivia Cooke, Ana Coto, Daren Kagasoff, Bianca A. Santos",$50.86M
"6,165.",Madea Goes to Jail,(2009),PG-13,103 min,"
Comedy, Crime, Drama            ",4.5,"
    Mischievous grandma Madea lands in jail, where she meets a variety of mixed-up characters.",Tyler Perry,"Tyler Perry, Keshia Knight Pulliam, Derek Luke, David Mann",$90.49M
"6,166.",Hannah Montana: The Movie,(2009),102 min,102 min,"
Comedy, Drama, Family            ",4.5,"
    As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",Peter Chelsom,"Miley Cyrus, Emily Osment, Billy Ray Cyrus, Jason Earles",$79.57M
"6,167.",Rings,(2017),A,102 min,"
Drama, Horror, Mystery            ",4.5,"
    A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.",F. Javier Gutiérrez,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",$27.78M
"6,168.",Postal,(2007),R,100 min,"
Action, Comedy, Crime            ",4.5,"
    In the ironically named city of Paradise, a loser teams up with his cult-leading uncle to steal a peculiar bounty of riches from their local amusement park. The recently arrived Taliban have a similar focus, but a far more sinister intent.",Uwe Boll,"Zack Ward, Dave Foley, Verne Troyer, Chris Coppola",$18.01M
"6,169.",Space Chimps,(2008),81 min,81 min,"
Animation, Adventure, Comedy            ",4.5,"
    Three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.",Kirk DeMicco,"Andy Samberg, Stanley Tucci, Jeff Daniels, Cheryl Hines",$30.11M
"6,170.",The Butterfly Effect 2,(2006),R,92 min,"
Drama, Sci-Fi, Thriller            ",4.5,"
    Nick Larson discovers a supernatural way to alter his life and travel back in time to key moments in his life by looking at photographs.",John R. Leonetti,"Eric Lively, Erica Durance, Dustin Milligan, Gina Holden",NaN
"6,171.",Superhero Movie,(2008),PG-13,75 min,"
Action, Comedy, Sci-Fi            ",4.5,"
    Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton, Christopher McDonald",$26.64M
"6,172.",Soul Plane,(2004),R,86 min,"
Comedy            ",4.5,"
    Things get raucously funny aboard the maiden flight of a black-owned airline, thanks to some last-minute passenger additions.",Jessy Terrero,"Dwayne Adway, Snoop Dogg, Tom Arnold, Kevin Hart",$13.92M
"6,173.",Taxi,(I) (2004),PG-13,97 min,"
Action, Comedy, Crime            ",4.5,"
    A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.",Tim Story,"Queen Latifah, Jimmy Fallon, Gisele Bündchen, Henry Simmons",$36.61M
"6,174.",Species II,(1998),A,93 min,"
Action, Horror, Sci-Fi            ",4.5,"
    An astronaut gets infected with alien DNA during the first mission on Mars and runs amok on earth. Preston and Laura team up with a peaceful, genetically re-engineered Sil to track the monster down.",Peter Medak,"Natasha Henstridge, Michael Madsen, Marg Helgenberger, Mykelti Williamson",$19.17M
"6,175.",Home Alone 3,(1997),U,102 min,"
Action, Comedy, Crime            ",4.5,"
    Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen",$30.88M
"6,176.",Striptease,(1996),A,115 min,"
Comedy, Crime, Drama            ",4.5,"
    A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.",Andrew Bergman,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames",$33.11M
"6,177.",Bio-Dome,(1996),PG-13,88 min,"
Comedy            ",4.5,"
    Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,"Pauly Shore, Stephen Baldwin, William Atherton, Denise Dowse",$26.76M
"6,178.",North,(1994),PG,87 min,"
Adventure, Comedy, Drama            ",4.5,"
    Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.",Rob Reiner,"Elijah Wood, Bruce Willis, Jason Alexander, Julia Louis-Dreyfus",$7.14M
"6,179.",Body of Evidence,(1992),R,99 min,"
Drama, Thriller            ",4.5,"
    A lawyer defends a woman accused of killing her older lover by having sex with him.",Uli Edel,"Madonna, Willem Dafoe, Joe Mantegna, Anne Archer",$13.28M
"6,180.",Police Academy 6: City Under Siege,(1989),U,84 min,"
Comedy, Crime            ",4.5,"
    Those bumbling cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.",Peter Bonerz,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook",$11.57M
"6,181.",Escape Plan: The Extractors,(2019),R,97 min,"
Action, Crime, Thriller            ",4.4,"
    After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured.",John Herzfeld,"Sylvester Stallone, Dave Bautista, 50 Cent, Jin Zhang",NaN
"6,182.",God's Not Dead 2,(2016),PG,120 min,"
Drama            ",4.4,"
    When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.",Harold Cronk,"Melissa Joan Hart, Jesse Metcalfe, David A.R. White, Hayley Orrantia",$20.77M
"6,183.",Paul Blart: Mall Cop 2,(2015),PG,94 min,"
Action, Comedy, Crime            ",4.4,"
    After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.",Andy Fickman,"Kevin James, Raini Rodriguez, Eduardo Verástegui, Daniella Alonso",$71.04M
"6,184.",Getaway,(I) (2013),PG-13,90 min,"
Action, Crime, Thriller            ",4.4,"
    To save his kidnapped wife, Brent Magna must drive at the orders of a mysterious man.",Courtney Solomon,"Ethan Hawke, Selena Gomez, Jon Voight, Paul Freeman",$10.49M
"6,185.",The Darkness,(I) (2016),PG-13,92 min,"
Horror, Thriller            ",4.4,"
    A family unknowingly awakens an ancient supernatural entity on a Grand Canyon vacation, and must fight for survival when it follows them home.",Greg McLean,"Kevin Bacon, Radha Mitchell, David Mazouz, Lucy Fry",$10.73M
"6,186.",Setup,(I) (2011),R,85 min,"
Action, Crime, Drama            ",4.4,"
    A group of friends become involved in a potentially deadly diamond heist.",Mike Gunther,"50 Cent, Bruce Willis, Ryan Phillippe, Rory Markham",NaN
"6,187.",LOL,(2012),A,97 min,"
Comedy, Drama, Romance            ",4.4,"
    As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.",Lisa Azuelos,"Miley Cyrus, Douglas Booth, Ashley Greene, Demi Moore",$0.05M
"6,188.",Skyline,(2010),PG-13,92 min,"
Action, Sci-Fi, Thriller            ",4.4,"
    Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.",Colin Strause,"Greg Strause, Eric Balfour, Donald Faison, Scottie Thompson",$21.37M
"6,189.","Big Mommas: Like Father, Like Son",(2011),PG-13,107 min,"
Action, Comedy, Crime            ",4.4,"
    Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.",John Whitesell,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang",$37.92M
"6,190.",Bitch Slap,(2009),R,109 min,"
Action, Comedy, Crime            ",4.4,"
    Three bad girls travel to a remote desert hideaway to steal $200 million in diamonds from a ruthless underworld kingpin.",Rick Jacobson,"Julia Voth, Erin Cummings, America Olivo, Michael Hurst",$0.02M
"6,191.",Little Man,(III) (2006),PG-13,98 min,"
Comedy, Crime            ",4.4,"
    A wannabe dad mistakes a vertically challenged criminal on the lam as his newly adopted son.",Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Kerry Washington, John Witherspoon",$58.65M
"6,192.",The Shaggy Dog,(2006),PG,98 min,"
Comedy, Family, Fantasy            ",4.4,"
    A man tries to live a normal life despite the fact that he sometimes turns into a sheepdog.",Brian Robbins,"Tim Allen, Kristin Davis, Craig Kilborn, Zena Grey",$61.12M
"6,193.",Zoom,(2006),U,93 min,"
Action, Adventure, Comedy            ",4.4,"
    Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.",Peter Hewitt,"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin",$11.63M
"6,194.",Ultraviolet,(2006),PG-13,88 min,"
Action, Sci-Fi            ",4.4,"
    A beautiful hæmophage infected with a virus that gives her superhuman powers has to protect a boy in a futuristic world, who is thought to be carrying antigens that would destroy all hæmophages.",Kurt Wimmer,"Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu",$18.50M
"6,195.",xXx: State of the Union,(2005),PG-13,101 min,"
Action, Adventure, Crime            ",4.4,"
    Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States.",Lee Tamahori,"Ice Cube, Samuel L. Jackson, Willem Dafoe, Scott Speedman",$26.87M
"6,196.",Kangaroo Jack,(2003),U,89 min,"
Action, Adventure, Comedy            ",4.4,"
    Two childhood friends, a New York hairstylist and a would-be musician, get caught up with the mob and are forced to deliver $50,000 to Australia, but things go haywire when the money is lost to a wild kangaroo.",David McNally,"Anthony Anderson, Jerry O'Connell, Estella Warren, Christopher Walken",$66.93M
"6,197.",Jason X,(2001),R,91 min,"
Action, Horror, Sci-Fi            ",4.4,"
    Jason Voorhees returns with a new look, a new machete, and his same murderous attitude as he is awakened on a spaceship in the 25th century.",James Isaac,"Kane Hodder, Lexa Doig, Jeff Geddis, David Cronenberg",$13.12M
"6,198.",Nutty Professor II: The Klumps,(2000),PG-13,106 min,"
Comedy, Romance, Sci-Fi            ",4.4,"
    Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales",$123.31M
"6,199.",The Next Karate Kid,(1994),PG,107 min,"
Action, Drama, Family            ",4.4,"
    Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.",Christopher Cain,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers",$8.91M
"6,200.",Look Who's Talking Now,(1993),PG-13,96 min,"
Comedy, Family, Romance            ",4.4,"
    The dogs can talk at a family of 4, where mom loses her job the same day dad gets a job as pilot for a cute, single boss.",Tom Ropelewski,"John Travolta, Kirstie Alley, David Gallagher, Tabitha Lupien",$10.34M
